Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestgS240.npy
Trial 0 Fit 18.00 Steps 19 
Trial 1 Fit 1000.00 Steps 1000 
Trial 2 Fit 17.00 Steps 18 
Trial 3 Fit 30.00 Steps 31 
Trial 4 Fit 1000.00 Steps 1000 
Trial 5 Fit 17.00 Steps 18 
Trial 6 Fit 17.00 Steps 18 
Trial 7 Fit 34.00 Steps 35 
Trial 8 Fit 1000.00 Steps 1000 
Trial 9 Fit 26.00 Steps 27 
Trial 10 Fit 19.00 Steps 20 
Trial 11 Fit 15.00 Steps 16 
Trial 12 Fit 468.00 Steps 469 
Trial 13 Fit 1000.00 Steps 1000 
Trial 14 Fit 1000.00 Steps 1000 
Trial 15 Fit 21.00 Steps 22 
Trial 16 Fit 1000.00 Steps 1000 
Trial 17 Fit 61.00 Steps 62 
Trial 18 Fit 1000.00 Steps 1000 
Trial 19 Fit 36.00 Steps 37 
Trial 20 Fit 1000.00 Steps 1000 
Trial 21 Fit 1000.00 Steps 1000 
Trial 22 Fit 59.00 Steps 60 
Trial 23 Fit 15.00 Steps 16 
Trial 24 Fit 1000.00 Steps 1000 
Trial 25 Fit 1000.00 Steps 1000 
Trial 26 Fit 1000.00 Steps 1000 
Trial 27 Fit 35.00 Steps 36 
Trial 28 Fit 16.00 Steps 17 
Trial 29 Fit 1000.00 Steps 1000 
Trial 30 Fit 82.00 Steps 83 
Trial 31 Fit 1000.00 Steps 1000 
Trial 32 Fit 1000.00 Steps 1000 
Trial 33 Fit 1000.00 Steps 1000 
Trial 34 Fit 14.00 Steps 15 
Trial 35 Fit 19.00 Steps 20 
Trial 36 Fit 83.00 Steps 84 
Trial 37 Fit 1000.00 Steps 1000 
Trial 38 Fit 1000.00 Steps 1000 
Trial 39 Fit 1000.00 Steps 1000 
Trial 40 Fit 409.00 Steps 410 
Trial 41 Fit 1000.00 Steps 1000 
Trial 42 Fit 41.00 Steps 42 
Trial 43 Fit 105.00 Steps 106 
Trial 44 Fit 19.00 Steps 20 
Trial 45 Fit 412.00 Steps 413 
Trial 46 Fit 1000.00 Steps 1000 
Trial 47 Fit 33.00 Steps 34 
Trial 48 Fit 1000.00 Steps 1000 
Trial 49 Fit 1000.00 Steps 1000 
Trial 50 Fit 20.00 Steps 21 
Trial 51 Fit 22.00 Steps 23 
Trial 52 Fit 23.00 Steps 24 
Trial 53 Fit 1000.00 Steps 1000 
Trial 54 Fit 19.00 Steps 20 
Trial 55 Fit 24.00 Steps 25 
Trial 56 Fit 17.00 Steps 18 
Trial 57 Fit 21.00 Steps 22 
Trial 58 Fit 22.00 Steps 23 
Trial 59 Fit 50.00 Steps 51 
Trial 60 Fit 24.00 Steps 25 
Trial 61 Fit 1000.00 Steps 1000 
Trial 62 Fit 91.00 Steps 92 
Trial 63 Fit 16.00 Steps 17 
Trial 64 Fit 1000.00 Steps 1000 
Trial 65 Fit 15.00 Steps 16 
Trial 66 Fit 29.00 Steps 30 
Trial 67 Fit 1000.00 Steps 1000 
Trial 68 Fit 166.00 Steps 167 
Trial 69 Fit 132.00 Steps 133 
Trial 70 Fit 1000.00 Steps 1000 
Trial 71 Fit 21.00 Steps 22 
Trial 72 Fit 16.00 Steps 17 
Trial 73 Fit 1000.00 Steps 1000 
Trial 74 Fit 13.00 Steps 14 
Trial 75 Fit 40.00 Steps 41 
Trial 76 Fit 60.00 Steps 61 
Trial 77 Fit 1000.00 Steps 1000 
Trial 78 Fit 1000.00 Steps 1000 
