Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestgS230.npy
Trial 0 Fit 11.00 Steps 12 
Trial 1 Fit 1000.00 Steps 1000 
Trial 2 Fit 11.00 Steps 12 
Trial 3 Fit 1000.00 Steps 1000 
Trial 4 Fit 36.00 Steps 37 
Trial 5 Fit 36.00 Steps 37 
Trial 6 Fit 12.00 Steps 13 
Trial 7 Fit 17.00 Steps 18 
Trial 8 Fit 1000.00 Steps 1000 
Trial 9 Fit 16.00 Steps 17 
Trial 10 Fit 14.00 Steps 15 
Trial 11 Fit 13.00 Steps 14 
Trial 12 Fit 1000.00 Steps 1000 
Trial 13 Fit 1000.00 Steps 1000 
Trial 14 Fit 35.00 Steps 36 
Trial 15 Fit 11.00 Steps 12 
Trial 16 Fit 1000.00 Steps 1000 
Trial 17 Fit 61.00 Steps 62 
Trial 18 Fit 1000.00 Steps 1000 
Trial 19 Fit 13.00 Steps 14 
Trial 20 Fit 1000.00 Steps 1000 
Trial 21 Fit 1000.00 Steps 1000 
Trial 22 Fit 56.00 Steps 57 
Trial 23 Fit 11.00 Steps 12 
Trial 24 Fit 39.00 Steps 40 
Trial 25 Fit 281.00 Steps 282 
Trial 26 Fit 1000.00 Steps 1000 
Trial 27 Fit 1000.00 Steps 1000 
Trial 28 Fit 12.00 Steps 13 
Trial 29 Fit 222.00 Steps 223 
Trial 30 Fit 35.00 Steps 36 
Trial 31 Fit 32.00 Steps 33 
Trial 32 Fit 133.00 Steps 134 
Trial 33 Fit 665.00 Steps 666 
Trial 34 Fit 17.00 Steps 18 
Trial 35 Fit 12.00 Steps 13 
Trial 36 Fit 76.00 Steps 77 
Trial 37 Fit 32.00 Steps 33 
Trial 38 Fit 1000.00 Steps 1000 
Trial 39 Fit 1000.00 Steps 1000 
Trial 40 Fit 1000.00 Steps 1000 
Trial 41 Fit 200.00 Steps 201 
Trial 42 Fit 26.00 Steps 27 
Trial 43 Fit 91.00 Steps 92 
Trial 44 Fit 13.00 Steps 14 
Trial 45 Fit 36.00 Steps 37 
Trial 46 Fit 29.00 Steps 30 
Trial 47 Fit 159.00 Steps 160 
Trial 48 Fit 284.00 Steps 285 
Trial 49 Fit 1000.00 Steps 1000 
Trial 50 Fit 12.00 Steps 13 
Trial 51 Fit 13.00 Steps 14 
Trial 52 Fit 14.00 Steps 15 
Trial 53 Fit 1000.00 Steps 1000 
Trial 54 Fit 11.00 Steps 12 
Trial 55 Fit 14.00 Steps 15 
Trial 56 Fit 12.00 Steps 13 
Trial 57 Fit 11.00 Steps 12 
Trial 58 Fit 13.00 Steps 14 
Trial 59 Fit 36.00 Steps 37 
Trial 60 Fit 37.00 Steps 38 
Trial 61 Fit 1000.00 Steps 1000 
Trial 62 Fit 16.00 Steps 17 
Trial 63 Fit 11.00 Steps 12 
Trial 64 Fit 30.00 Steps 31 
Trial 65 Fit 11.00 Steps 12 
Trial 66 Fit 1000.00 Steps 1000 
Trial 67 Fit 73.00 Steps 74 
Trial 68 Fit 1000.00 Steps 1000 
Trial 69 Fit 346.00 Steps 347 
Trial 70 Fit 1000.00 Steps 1000 
Trial 71 Fit 13.00 Steps 14 
Trial 72 Fit 11.00 Steps 12 
Trial 73 Fit 36.00 Steps 37 
Trial 74 Fit 10.00 Steps 11 
Trial 75 Fit 33.00 Steps 34 
Trial 76 Fit 31.00 Steps 32 
Trial 77 Fit 1000.00 Steps 1000 
Trial 78 Fit 1000.00 Steps 1000 
Trial 79 Fit 1000.00 Steps 1000 
Trial 80 Fit 1000.00 Steps 1000 
Trial 81 Fit 1000.00 Steps 1000 
Trial 82 Fit 12.00 Steps 13 
Trial 83 Fit 1000.00 Steps 1000 
Trial 84 Fit 11.00 Steps 12 
Trial 85 Fit 11.00 Steps 12 
Trial 86 Fit 1000.00 Steps 1000 
Trial 87 Fit 1000.00 Steps 1000 
Trial 88 Fit 1000.00 Steps 1000 
Trial 89 Fit 12.00 Steps 13 
Trial 90 Fit 14.00 Steps 15 
Trial 91 Fit 1000.00 Steps 1000 
Trial 92 Fit 1000.00 Steps 1000 
Trial 93 Fit 713.00 Steps 714 
Trial 94 Fit 12.00 Steps 13 
Trial 95 Fit 13.00 Steps 14 
Trial 96 Fit 14.00 Steps 15 
Trial 97 Fit 41.00 Steps 42 
Trial 98 Fit 13.00 Steps 14 
Trial 99 Fit 1000.00 Steps 1000 
Trial 100 Fit 1000.00 Steps 1000 
Trial 101 Fit 1000.00 Steps 1000 
Trial 102 Fit 139.00 Steps 140 
Trial 103 Fit 43.00 Steps 44 
Trial 104 Fit 11.00 Steps 12 
Trial 105 Fit 23.00 Steps 24 
Trial 106 Fit 18.00 Steps 19 
Trial 107 Fit 1000.00 Steps 1000 
Trial 108 Fit 12.00 Steps 13 
Trial 109 Fit 11.00 Steps 12 
Trial 110 Fit 36.00 Steps 37 
Trial 111 Fit 37.00 Steps 38 
Trial 112 Fit 13.00 Steps 14 
Trial 113 Fit 11.00 Steps 12 
Trial 114 Fit 1000.00 Steps 1000 
Trial 115 Fit 1000.00 Steps 1000 
Trial 116 Fit 1000.00 Steps 1000 
Trial 117 Fit 15.00 Steps 16 
Trial 118 Fit 11.00 Steps 12 
Trial 119 Fit 15.00 Steps 16 
Trial 120 Fit 1000.00 Steps 1000 
Trial 121 Fit 1000.00 Steps 1000 
Trial 122 Fit 16.00 Steps 17 
Trial 123 Fit 12.00 Steps 13 
Trial 124 Fit 16.00 Steps 17 
Trial 125 Fit 1000.00 Steps 1000 
Trial 126 Fit 22.00 Steps 23 
Trial 127 Fit 15.00 Steps 16 
Trial 128 Fit 11.00 Steps 12 
Trial 129 Fit 26.00 Steps 27 
Trial 130 Fit 1000.00 Steps 1000 
Trial 131 Fit 88.00 Steps 89 
Trial 132 Fit 13.00 Steps 14 
Trial 133 Fit 11.00 Steps 12 
Trial 134 Fit 96.00 Steps 97 
Trial 135 Fit 19.00 Steps 20 
Trial 136 Fit 11.00 Steps 12 
Trial 137 Fit 11.00 Steps 12 
Trial 138 Fit 1000.00 Steps 1000 
Trial 139 Fit 36.00 Steps 37 
Trial 140 Fit 1000.00 Steps 1000 
Trial 141 Fit 13.00 Steps 14 
Trial 142 Fit 12.00 Steps 13 
Trial 143 Fit 13.00 Steps 14 
Trial 144 Fit 38.00 Steps 39 
Trial 145 Fit 14.00 Steps 15 
Trial 146 Fit 1000.00 Steps 1000 
Trial 147 Fit 1000.00 Steps 1000 
Trial 148 Fit 1000.00 Steps 1000 
Trial 149 Fit 39.00 Steps 40 
Trial 150 Fit 37.00 Steps 38 
Trial 151 Fit 115.00 Steps 116 
Trial 152 Fit 13.00 Steps 14 
Trial 153 Fit 31.00 Steps 32 
Trial 154 Fit 36.00 Steps 37 
Trial 155 Fit 16.00 Steps 17 
Trial 156 Fit 1000.00 Steps 1000 
Trial 157 Fit 37.00 Steps 38 
Trial 158 Fit 16.00 Steps 17 
Trial 159 Fit 1000.00 Steps 1000 
Trial 160 Fit 1000.00 Steps 1000 
Trial 161 Fit 12.00 Steps 13 
Trial 162 Fit 13.00 Steps 14 
Trial 163 Fit 1000.00 Steps 1000 
Trial 164 Fit 1000.00 Steps 1000 
Trial 165 Fit 30.00 Steps 31 
Trial 166 Fit 1000.00 Steps 1000 
Trial 167 Fit 114.00 Steps 115 
Trial 168 Fit 13.00 Steps 14 
Trial 169 Fit 12.00 Steps 13 
Trial 170 Fit 31.00 Steps 32 
Trial 171 Fit 1000.00 Steps 1000 
Trial 172 Fit 1000.00 Steps 1000 
Trial 173 Fit 87.00 Steps 88 
Trial 174 Fit 33.00 Steps 34 
Trial 175 Fit 1000.00 Steps 1000 
Trial 176 Fit 13.00 Steps 14 
Trial 177 Fit 1000.00 Steps 1000 
Trial 178 Fit 15.00 Steps 16 
Trial 179 Fit 60.00 Steps 61 
Trial 180 Fit 14.00 Steps 15 
Trial 181 Fit 12.00 Steps 13 
Trial 182 Fit 15.00 Steps 16 
Trial 183 Fit 14.00 Steps 15 
Trial 184 Fit 11.00 Steps 12 
Trial 185 Fit 11.00 Steps 12 
Trial 186 Fit 34.00 Steps 35 
Trial 187 Fit 1000.00 Steps 1000 
Trial 188 Fit 1000.00 Steps 1000 
Trial 189 Fit 62.00 Steps 63 
Trial 190 Fit 1000.00 Steps 1000 
