Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 100 MaxSteps 1000
Run Test: Environment ErDpole testfile bestS110.npy
Trial 0 Fit 17.00 Steps 18 
Trial 1 Fit 91.00 Steps 92 
Trial 2 Fit 17.00 Steps 18 
Trial 3 Fit 66.00 Steps 67 
Trial 4 Fit 68.00 Steps 69 
Trial 5 Fit 68.00 Steps 69 
Trial 6 Fit 20.00 Steps 21 
Trial 7 Fit 39.00 Steps 40 
Trial 8 Fit 70.00 Steps 71 
Trial 9 Fit 32.00 Steps 33 
Trial 10 Fit 19.00 Steps 20 
Trial 11 Fit 16.00 Steps 17 
Trial 12 Fit 62.00 Steps 63 
Trial 13 Fit 75.00 Steps 76 
Trial 14 Fit 79.00 Steps 80 
Trial 15 Fit 17.00 Steps 18 
Trial 16 Fit 79.00 Steps 80 
Trial 17 Fit 60.00 Steps 61 
Trial 18 Fit 114.00 Steps 115 
Trial 19 Fit 44.00 Steps 45 
Trial 20 Fit 88.00 Steps 89 
Trial 21 Fit 67.00 Steps 68 
Trial 22 Fit 54.00 Steps 55 
Trial 23 Fit 36.00 Steps 37 
Trial 24 Fit 63.00 Steps 64 
Trial 25 Fit 65.00 Steps 66 
Trial 26 Fit 98.00 Steps 99 
Trial 27 Fit 54.00 Steps 55 
Trial 28 Fit 19.00 Steps 20 
Trial 29 Fit 59.00 Steps 60 
Trial 30 Fit 57.00 Steps 58 
Trial 31 Fit 137.00 Steps 138 
Trial 32 Fit 78.00 Steps 79 
Trial 33 Fit 57.00 Steps 58 
Trial 34 Fit 18.00 Steps 19 
Trial 35 Fit 35.00 Steps 36 
Trial 36 Fit 64.00 Steps 65 
Trial 37 Fit 68.00 Steps 69 
Trial 38 Fit 65.00 Steps 66 
Trial 39 Fit 86.00 Steps 87 
Trial 40 Fit 79.00 Steps 80 
Trial 41 Fit 88.00 Steps 89 
Trial 42 Fit 35.00 Steps 36 
Trial 43 Fit 87.00 Steps 88 
Trial 44 Fit 17.00 Steps 18 
Trial 45 Fit 57.00 Steps 58 
Trial 46 Fit 78.00 Steps 79 
Trial 47 Fit 41.00 Steps 42 
Trial 48 Fit 78.00 Steps 79 
Trial 49 Fit 91.00 Steps 92 
Trial 50 Fit 21.00 Steps 22 
Trial 51 Fit 25.00 Steps 26 
Trial 52 Fit 45.00 Steps 46 
Trial 53 Fit 47.00 Steps 48 
Trial 54 Fit 21.00 Steps 22 
Trial 55 Fit 48.00 Steps 49 
Trial 56 Fit 18.00 Steps 19 
Trial 57 Fit 17.00 Steps 18 
Trial 58 Fit 20.00 Steps 21 
Trial 59 Fit 24.00 Steps 25 
Trial 60 Fit 55.00 Steps 56 
Trial 61 Fit 84.00 Steps 85 
Trial 62 Fit 66.00 Steps 67 
Trial 63 Fit 16.00 Steps 17 
Trial 64 Fit 71.00 Steps 72 
Trial 65 Fit 17.00 Steps 18 
Trial 66 Fit 69.00 Steps 70 
Trial 67 Fit 60.00 Steps 61 
Trial 68 Fit 91.00 Steps 92 
Trial 69 Fit 89.00 Steps 90 
Trial 70 Fit 109.00 Steps 110 
Trial 71 Fit 52.00 Steps 53 
Trial 72 Fit 19.00 Steps 20 
Trial 73 Fit 45.00 Steps 46 
Trial 74 Fit 19.00 Steps 20 
Trial 75 Fit 48.00 Steps 49 
Trial 76 Fit 127.00 Steps 128 
Trial 77 Fit 70.00 Steps 71 
Trial 78 Fit 76.00 Steps 77 
Trial 79 Fit 95.00 Steps 96 
Trial 80 Fit 59.00 Steps 60 
Trial 81 Fit 66.00 Steps 67 
Trial 82 Fit 45.00 Steps 46 
Trial 83 Fit 62.00 Steps 63 
Trial 84 Fit 18.00 Steps 19 
Trial 85 Fit 18.00 Steps 19 
Trial 86 Fit 88.00 Steps 89 
Trial 87 Fit 122.00 Steps 123 
Trial 88 Fit 52.00 Steps 53 
Trial 89 Fit 20.00 Steps 21 
Trial 90 Fit 20.00 Steps 21 
Trial 91 Fit 66.00 Steps 67 
Trial 92 Fit 116.00 Steps 117 
Trial 93 Fit 80.00 Steps 81 
Trial 94 Fit 18.00 Steps 19 
Trial 95 Fit 16.00 Steps 17 
Trial 96 Fit 21.00 Steps 22 
Trial 97 Fit 29.00 Steps 30 
Trial 98 Fit 41.00 Steps 42 
Trial 99 Fit 111.00 Steps 112 
Average Fit 56.04 Steps 57.04 
Postevauation: Average Fitness 56.04 Total Steps 5704
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Network 3->10->4 feedforward with bias linear output:tanh init:xavier 
