Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 100 MaxSteps 1000
Run Test: Environment ErDpole testfile bestgS118.npy
Trial 0 Fit 16.00 Steps 17 
Trial 1 Fit 80.00 Steps 81 
Trial 2 Fit 16.00 Steps 17 
Trial 3 Fit 62.00 Steps 63 
Trial 4 Fit 90.00 Steps 91 
Trial 5 Fit 73.00 Steps 74 
Trial 6 Fit 20.00 Steps 21 
Trial 7 Fit 36.00 Steps 37 
Trial 8 Fit 63.00 Steps 64 
Trial 9 Fit 31.00 Steps 32 
Trial 10 Fit 19.00 Steps 20 
Trial 11 Fit 15.00 Steps 16 
Trial 12 Fit 86.00 Steps 87 
Trial 13 Fit 75.00 Steps 76 
Trial 14 Fit 80.00 Steps 81 
Trial 15 Fit 14.00 Steps 15 
Trial 16 Fit 93.00 Steps 94 
Trial 17 Fit 61.00 Steps 62 
Trial 18 Fit 120.00 Steps 121 
Trial 19 Fit 41.00 Steps 42 
Trial 20 Fit 86.00 Steps 87 
Trial 21 Fit 68.00 Steps 69 
Trial 22 Fit 55.00 Steps 56 
Trial 23 Fit 37.00 Steps 38 
Trial 24 Fit 92.00 Steps 93 
Trial 25 Fit 66.00 Steps 67 
Trial 26 Fit 95.00 Steps 96 
Trial 27 Fit 57.00 Steps 58 
Trial 28 Fit 19.00 Steps 20 
Trial 29 Fit 64.00 Steps 65 
Trial 30 Fit 58.00 Steps 59 
Trial 31 Fit 90.00 Steps 91 
Trial 32 Fit 76.00 Steps 77 
Trial 33 Fit 64.00 Steps 65 
Trial 34 Fit 17.00 Steps 18 
Trial 35 Fit 19.00 Steps 20 
Trial 36 Fit 61.00 Steps 62 
Trial 37 Fit 43.00 Steps 44 
Trial 38 Fit 85.00 Steps 86 
Trial 39 Fit 138.00 Steps 139 
Trial 40 Fit 89.00 Steps 90 
Trial 41 Fit 121.00 Steps 122 
Trial 42 Fit 35.00 Steps 36 
Trial 43 Fit 84.00 Steps 85 
Trial 44 Fit 17.00 Steps 18 
Trial 45 Fit 49.00 Steps 50 
Trial 46 Fit 103.00 Steps 104 
Trial 47 Fit 40.00 Steps 41 
Trial 48 Fit 76.00 Steps 77 
Trial 49 Fit 113.00 Steps 114 
Trial 50 Fit 22.00 Steps 23 
Trial 51 Fit 25.00 Steps 26 
Trial 52 Fit 42.00 Steps 43 
Trial 53 Fit 41.00 Steps 42 
Trial 54 Fit 15.00 Steps 16 
Trial 55 Fit 48.00 Steps 49 
Trial 56 Fit 17.00 Steps 18 
Trial 57 Fit 18.00 Steps 19 
Trial 58 Fit 47.00 Steps 48 
Trial 59 Fit 45.00 Steps 46 
Trial 60 Fit 57.00 Steps 58 
Trial 61 Fit 84.00 Steps 85 
Trial 62 Fit 47.00 Steps 48 
Trial 63 Fit 14.00 Steps 15 
Trial 64 Fit 80.00 Steps 81 
Trial 65 Fit 17.00 Steps 18 
Trial 66 Fit 101.00 Steps 102 
Trial 67 Fit 60.00 Steps 61 
Trial 68 Fit 91.00 Steps 92 
Trial 69 Fit 45.00 Steps 46 
Trial 70 Fit 85.00 Steps 86 
Trial 71 Fit 27.00 Steps 28 
Trial 72 Fit 16.00 Steps 17 
Trial 73 Fit 44.00 Steps 45 
Trial 74 Fit 18.00 Steps 19 
Trial 75 Fit 50.00 Steps 51 
Trial 76 Fit 107.00 Steps 108 
Trial 77 Fit 57.00 Steps 58 
Trial 78 Fit 71.00 Steps 72 
Trial 79 Fit 110.00 Steps 111 
Trial 80 Fit 59.00 Steps 60 
Trial 81 Fit 57.00 Steps 58 
Trial 82 Fit 26.00 Steps 27 
Trial 83 Fit 86.00 Steps 87 
Trial 84 Fit 15.00 Steps 16 
Trial 85 Fit 18.00 Steps 19 
Trial 86 Fit 95.00 Steps 96 
Trial 87 Fit 150.00 Steps 151 
Trial 88 Fit 57.00 Steps 58 
Trial 89 Fit 18.00 Steps 19 
Trial 90 Fit 18.00 Steps 19 
Trial 91 Fit 77.00 Steps 78 
Trial 92 Fit 115.00 Steps 116 
Trial 93 Fit 101.00 Steps 102 
Trial 94 Fit 16.00 Steps 17 
Trial 95 Fit 20.00 Steps 21 
Trial 96 Fit 19.00 Steps 20 
Trial 97 Fit 46.00 Steps 47 
Trial 98 Fit 41.00 Steps 42 
Trial 99 Fit 64.00 Steps 65 
Average Fit 57.07 Steps 58.07 
Postevauation: Average Fitness 57.07 Total Steps 5807
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Network 3->18->4 feedforward with bias linear output:tanh init:xavier 
